INFO:le2mBordereaux_tableModel:insertRow: 0 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 1 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 2 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 3 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 4 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 5 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 6 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 7 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 8 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 9 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 10 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 11 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 12 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 13 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 14 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 15 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 16 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 17 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 18 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 19 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 20 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 21 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 22 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 23 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 24 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 25 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 26 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 27 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 28 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 29 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 30 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 31 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 32 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 33 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 34 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 35 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 36 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 37 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 38 - ['', '', True]
INFO:le2mBordereaux_tableModel:insertRow: 39 - ['', '', True]
INFO:__main__:_vider_liste
INFO:le2mBordereaux_tableModel:vider_liste
INFO:le2mBordereaux_tableModel:removeRow: 39 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 38 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 37 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 36 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 35 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 34 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 33 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 32 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 31 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 30 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 29 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 28 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 27 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 26 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 25 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 24 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 23 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 22 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 21 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 20 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 19 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 18 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 17 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 16 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 15 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 14 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 13 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 12 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 11 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 10 - ['', '', True]
INFO:le2mBordereaux_tableModel:removeRow: 9 - ['', '', True]
